----------------------- Page 1-----------------------
	Crop Wise Farm Harvest Prices of Principal Crops in India - Himachal Pradesh	
	(Rs. per Quintal)	
Crop	Variety	Year	Season	Bilaspur	Chamba	Hamirpur	Kangra	Kinnaur	Kullu	Lahaul &	Mandi	Shimla	Sirmaur	Solan	Una	State Wtd	
	Spiti	Average	
Barley	-	2008-09	-	896	800	1342	1145	1192	1050	1600	1164	800	930	1350	1700	1164	
	-	2009-10	-	1383	935	1185	1300	1300	1200	1900	1360	1000	1040	1157	1750	1293	
Chilly	-	2009-10	-	8183	8000	6000	9000	-	10200	-	9007	8000	6611	4425	8333	7776	
	Dry	2008-09	-	5867	-	6000	5000	-	8400	-	9907	6000	7312	4000	8500	6776	
Ginger	-	2008-09	-	2033	-	-	2600	-	-	-	2979	2000	3162	2417	2750	2563	
	-	2009-10	-	2817	-	-	3000	-	-	-	3467	2500	2930	2986	-	2950	
Gram	-	2008-09	-	3683	-	3108	3250	-	-	-	3271	3500	3500	3214	2940	3308	
	-	2009-10	-	3767	-	3042	3380	-	4000	-	3504	4000	3500	3400	3380	3553	
Ground Nut	-	2008-09	-	-	-	-	-	-	-	-	-	-	2833	4000	4100	3644	
	-	2009-10	-	-	-	-	-	-	-	-	-	-	4333	5000	5000	4778	
Linseed	-	2008-09	-	-	-	4583	3400	-	-	-	3694	-	-	-	-	3892	
	-	2009-10	-	-	-	4700	-	-	-	-	4780	-	-	-	-	4740	
Maize	-	2008-09	-	930	739	768	858	1133	740	1000	730	1000	890	900	770	872	
	-	2009-10	-	1008	860	1043	986	1192	800	1500	917	1500	960	1021	1080	1072	
Paddy	-	2008-09	-	1022	1175	918	960	-	1440	-	1046	1500	910	980	709	1066	
	-	2009-10	-	1158	1340	1136	1200	-	2100	-	1486	2000	960	1367	1225	1397	
Potato	-	2008-09	Kharif	-	1050	-	900	-	800	500	841	1000	943	875	700	845	
	-	2008-09	Rabi	717	1500	1067	1400	-	933	-	1023	1000	1171	971	856	1064	
	-	2009-10	Kharif	-	1275	-	-	-	800	1200	1638	1500	1357	1171	1300	1280	
	-	2009-10	Rabi	696	1233	-	700	-	1500	-	1031	1500	1085	893	663	1033	
Rape/Mustard -	2008-09	-	3992	5300	4883	3550	-	-	1300	3727	3500	3444	3000	2900	3559	
	-	2009-10	-	4117	4186	4833	4300	-	5100	-	4285	4000	3622	3314	2520	4023	
Sesamum	-	2008-09	-	4417	-	7833	4600	-	-	-	4871	-	6980	4667	6250	5659	
	-	2009-10	-	4800	-	9167	7500	-	-	-	6750	-	7000	6333	7000	6936	
Soyabean	-	2008-09	-	7900	-	-	3000	-	-	-	2114	-	2350	-	2155	3504	
	-	2009-10	-	8317	-	-	5000	-	-	-	3041	-	2867	-	-	4806	
Turmeric	-	2008-09	-	5017	-	5560	5000	-	-	-	5253	-	4650	-	4833	5052	
	-	2009-10	-	6333	-	5875	6000	-	-	-	5920	-	6333	4425	10033	6749	
Wheat	-	2008-09	-	1033	900	1036	1020	1150	1100	900	973	1100	1070	1154	1170	1051	
	-	2009-10	-	1350	1090	1186	1100	1400	1400	1500	1148	1500	1175	1212	1210	1273	
	42	
