----------------------- Page 1-----------------------
	Crop Wise Farm Harvest Prices of Principal Crops in India - Kerala
	(Rs. per Quintal)
Crop	Variety	Year	Season	Alappuzha	Ernakulam	Idukki	Kannur	Kasargod	Kollam	Kottayam	Kozhikode	Malappuram	Palakkad	Pathanamthi Thiruvanant	Trichur	Wayanad	State Wtd
	tta	hapuram	Average
Banana	-	2008-09	-	1762	1554	1374	1526	1518	1692	1735	1586	1434	1401	1794	1720	1474	1185	1467
	-	2009-10	-	2231	1889	1766	1965	1922	2120	2132	1991	1842	1796	2112	2074	1871	1504	1841
Ginger	Dry	2008-09	-	-	9150	-	7450	8750	-	7975	7835	-	8213	9505	-	-	6249	6793
	Dry	2009-10	-	-	11855	13000	9000	9517	-	12500	9214	-	12500	12850	-	-	8808	9395
Paddy	-	2008-09	-	1038	927	959	979	853	944	1024	901	869	928	965	1050	919	857	947
	-	2009-10	-	1196	1035	1070	1098	914	1025	1178	926	944	1047	1004	1025	1005	955	1064
Pepper	-	2008-09	-	-	11368	11398	11475	11477	11917	11522	11388	11542	11482	11578	10038	11217	11792	11444
	-	2009-10	-	11000	13305	13792	13467	13247	13385	13670	13299	13410	13424	13577	12852	13351	13942	13365
Sugarcane	-	2008-09	-	-	-	-	-	-	-	1500	-	-	-	-	-	-	-	1500
Tapioca	-	2008-09	-	584	544	629	660	742	497	651	591	480	459	595	501	552	504	543
	-	2009-10	-	618	501	646	689	758	538	652	724	521	519	642	513	592	556	572
	53
