	Crop Wise Farm Harvest Prices of Principal Crops in India - Himachal Pradesh	
	(Rs. per Quintal)	
Crop Variety Year Season	Bilaspur	Chamba	Hamirpur	Kangra	Kinnaur	Kullu	Lahaul &	Mandi	Shimla	Sirmaur	Solan	Una	State Wtd
	Spiti	Average
Barley	-	2010-11	-	1308	985	1571	1381	1300	1300	1900	1400	1015	1100	1294	1750	1359
Chilly	-	2010-11	-	9350	10000	7000	9000	-	11400	-	10591	8000	7514	6238	8625	8772
Ginger	-	2010-11	-	3216	-	4000	3343	-	-	-	3600	2000	2870	2950	3500	3185
Gram	-	2010-11	-	3950	-	3333	3458	-	4100	-	3767	4200	3550	3525	3233	3683
Ground Nut	-	2010-11	-	-	-	-	-	-	-	-	-	-	-	5300	5250	5275
Linseed	-	2010-11	-	-	4500	5300	2725	-	-	-	5779	-	-	-	6000	4861
Maize	-	2010-11	-	1184	945	950	1000	1192	1110	2000	947	1170	1135	1094	1070	1149
Paddy	-	2010-11	-	1392	1380	1118	1290	-	2600	-	1458	3712	1183	1613	1196	1694
Potato	-	2010-11	Kharif	-	1400	-	-	-	1100	1300	-	1125	-	1097	983	1168
	-	2010-11	Rabi	827	1400	800	860	-	1000	-	1132	1125	900	1000	933	998
Rape/Mustard	-	2010-11	-	5317	4188	4100	5000	-	6000	-	4969	5000	3010	3775	2800	4416
Sesamum	-	2010-11	-	5817	-	7825	7050	-	-	-	6780	-	-	7257	7033	6960
Soyabean	-	2010-11	-	8500	-	-	5890	-	-	-	2835	-	-	-	-	5742
Turmeric	-	2010-11	-	10117	-	9250	6052	-	-	-	-	-	-	-	16000	10355
Wheat	-	2010-11	-	1217	1130	1171	2011	1400	1500	1500	1225	1215	1225	1281	1176	1338
	27	
