StateUnionTerritory,Year,Paddy,Jowar,Bajra,Maize,Ragi,Wheat,Barley,Gram,TurArhar,SugarRaw,Potato,Tobacco,Groundnut,state,RapeSeed,Sesamum,Linseed,CasterSeed,Nigerseed,Cotton,Soyabean,Sannhemp,Pepper,GingerFresh,Chilly,Turmeric,Mesta,Toria,Jute,Ginger,ChillyDry,Banana,Coconut100Nos,ChillyFresh,TurmericFresh,Rice,Nigeseed,TurmericDry,Sunflower,Coconut1000Nos,Arecanut,GingerDry,Cashewnut,Arecanut100Nos,Tapioca
ANDAMAN & NICOBAR,2001-02,570,..,..,..,..,..,..,..,..,70**,..,..,..,ANDAMAN&NICOBAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,ANDAMAN&NICOBAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,ANDAMAN&NICOBAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDAMAN & NICOBAR,2001-02,570,..,..,..,..,..,..,..,..,70**,..,..,..,ANDAMAN&NICOBAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,ANDAMAN&NICOBAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(STATE WEIGHTED,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,ANDAMAN&NICOBAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKHIMPUR,2001-02,420Wt,..,..,..,..,..,..,..,..,..,733,..,..,ASSAM--DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,361At,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,446Wt,..,..,,..,550,..,..,…,..,700,..,..,ASSAM--DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,357At,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,465Wt,..,..,..,..,..,..,..,..,..,800,..,..,ASSAM--DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,359At,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARBIANGLONG,2001-02,544Wt,..,..,..,..,800,..,..,..,1819,744,4000,..,ASSAM--DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
