Crop,Variety,Year,Season,Adilabad,Anantapur,Chittor,Cuddapah,East_Godavari,Guntur,Karimnagar,Khammam,Krishna,Kurnool,Mahbubnagar,Medak,Nalgonda,Nellore,Nizamabad,state,Bastar,Bilaspur,Dantewada,Dhamtari,Durg,Janjgir_Champa,Jashpur,Kanker,Kawardha,Korba,Koriya,Mahasamund,Raigarh,Raipur,Rajnandgaon,Surguja,Goa,Ahmedabad,Amreli,Anand,Banas_kantha,Bharuch,Bhavnagar,Dahod,Gandhinagar,Jamnagar,Junagadh,Kachchh,Kheda,Mahesana,Narmada,Navsari,Panch_Mahals,Patan,Porbandar,Rajkot,Sabar_Kantha,Surat,Surendranagar,The_Dangs,Vadodara,Valsad,Chamba,Hamirpur,Kangra,Kinnaur,Kullu,Lahaul_Spiti,Mandi,Shimla,Sirmaur,Solan,Una,Ambala,Bhiwani,Faridabad,Fatehabad,Gurgaon,Hisar,Jhajjar,Jind,Kaithal,Karnal,Kurukshetra,Mahendragarh,Mewat,Panchkula,Panipat,Rewari,Rohtak,Sirsa,Sonipat,Yamunanagar,Anantnag,Baramulla,Budgam,Doda,Jammu,Kargil,Kathua,Kupwara,Leh,Poonch,Pulwama,Rajauri,Srinagar,Udhampur,Bagalkot,Bangalore_Urban,Bangalore_Rural,Belgaum,Bellary,Bidar,Bijapur,Chamrajnagar,Chickmagalur,Chitradurga,D_Kannada,Davangere,Dharwad,Gadag,Gulbarga,Hassan,Haveri,Kodagu,Kolar,Koppal,Mandya,Mysore,Raichur,Shimoga,Tumkur,U_Kannada,Udupi,Alappuzha,Ernakulam,Idukki,Kannur,Kasargod,Kollam,Kottayam,Kozhikode,Malappuram,Palakkad,Pathanamthitta,Thiruvananthapuram,Trichur,Wayanad,Ahmednagar,Akola,Amravati,Aurangabad,Beed,Bhandara,Buldhana,Chandrapur,Dhule,Gadchiroli,Gondia,Hingoli,Jalgaon,Jalna,Kolhapur,Latur,Mumbai,Nagpur,Nanded,Nandurbar,Nasik,Osmanabad,Parbhani,Pune,Ratnagiri,Sangli,Satara,Sindhudurg,Solapur,Thane,Wardha,Washim,Yavatmal,Anuppur,Ashoknagar,Balaghat,Barwani,Betul,Bhind,Bhopal,Burhanpur,Chhatarpur,Chhindwara,Damoh,Datia,Dewas,Dhar,Dindori,Prakasam,Rangareddi,Srikakulam,Visakhapatnam,Vizianagaram,Warangal,West_Godavari,Guna,Gwalior,Harda,Hoshangabad,Indore,Jabalpur,Jhabua,Katni,Khandwa,Khargone,Mandla,Mandsaur,Morena,Narsinghpur,Neemuch,Panna,Raisen,Rajgarh,Ratlam,Rewa,Sagar,Satna,Sehore,Shahdol,Shajapur,Sheopur,Shivani,Shivpuri,Sidhi,Tikamgarh,Ujjain,Umaria,Vidisha,Kerala,Amritsar,Bhatinda,Faridkot,Fatehgarh_Sahib,Firozpur,Gurdaspur,Hoshiarpur,Jalandhar,kapurthala,Ludhiana,Mansa,Moga,Muktsar,Nawanshahar,Patiala,Rupnagar,Sangrur,Ajmer,Alwar,Banswara,Baran,Barmer,Bharatpur,Bhilwara,Bikaner,Bundi,Chittorgarh,Churu,Dausa,Dholpur,Dungarpur,Ganganagar,Hanumangarh,Jaipur,Jaisalmer,Jalor,Jhalawar,Jhunjunu,Jodhpur,Karauli,Kota,Nagaur,Pali,Rajsamand,Sawai_Madhopur,Sikar,Sirohi,Tonk,Udaipur,Coimbatore,Cuddalore,Dharmapuri,Dindugal,Erode,Kanchipuram,Kanyakumari,Karur,Krishnagiri,Madurai,Nagapattinam,Namakkal,Nilgiris,Perambalur,Pudukkottai,Ramanathapuram,Salem,Sivaganga,Thanjavur,Theni,Thirunelveli,Thiruvannamalai,Thiruvarur,Thoothukudi,Tiruchirappalli,Tiruvallur,Vellore,Viluppuram,Virudhunagar,Agra,Aligarh,Allahabad,Ambedkar_Nagar,Auraiya,Azamgarh,Bagpat,Bahraich,Ballia,Balrampur,Banda,Barabanki,Bareilly,Basti,Bijnor,Budaun,Bulandshahr,Chandauli,Chitrakoot,Deoria,Etah,Etawah,Faizabad,Farrukhabad,Fatehpur,Firozabad,Gautam_Budha_Nagar,Ghaziabad,Ghazipur,Gonda,Gorakhpur,Hardoi,Hathras,Jalaun,Jaunpur,Jhansi,Jyotiba_Phule_Nagar,Kannauj,Kanpur_Dehat,Kanpur_Nagar,Kaushambi,Kheri,KushiNagar,Lalitpur,Lucknow,Mahamaya_Nagar,Maharajganj,Mahoba,Mainpuri,Mathura,Mau,Meerut,Mirzapur,Moradabad,Muzaffarnagar,Pilibhit,Pratapgarh,RaeBareli,Rampur,Saharanpur,Sant_Ravidas_Nagar,Sant_Kabir_Nagar,Shahjahanpur,Shrawasti,Siddharthna,Sitapur,Sonbhadra,Sultanpur,Unnao,Varanasi,Barpeta,Bongaigaon,Cachar,Darrang,Dhemaji,Dhubri,Dibrugarh,Goalpara,Golaghat,Hailkandi,Jorhat,Kamrup,Karbi_Anglong,Karimganj,Kokrajhar,Bankura,Bardhaman,Birbhum,Cooch_Bihar,Dakhin_Dinajpur,Darjiling,East_Midnapore,Hooghly,Howrah,Jalpaiguri,Malda,Murshidabad,Nadia,North_24_Parganas,North_Dinajpur,Lakhimpur,Morigaon,Nagaon,Nalbari,North_Cachar_Hills,Sivasagar,Sonitpur,Tinsukia,Jahanabad,Araia,Arbal,Banka,Begusarai,Bhabua,Bhagalpur,Bhojpur,Buxar,Darbhanga,East_Champaran,Gaya,Gopalganj,Jumui,Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Patna,Purnia,Rohtas,Saharsa,Samastipur,Saran,Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,West_Champaran
Bajra,-,2004-05,-,454,526,542,550,518,506,454,516,-,533,510,516,521,506,454,INDIA-ANDHRAPRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,2004-05,Kharif,-,523,542,533,518,506,-,516,-,530,510,516,521,506,-,INDIA-ANDHRAPRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,2004-05,Rabi,454,575,575,575,-,575,454,-,575,-,-,-,454,-,454,INDIA-ANDHRAPRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CasterSeed,-,2004-05,-,1494,1379,1460,1460,-,1328,1494,1494,-,1379,1504,1494,1494,1978,1494,INDIA-ANDHRAPRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,2004-05,Kharif,1494,1379,1460,1460,-,1328,1494,1494,-,1379,1504,1494,1496,1978,1494,INDIA-ANDHRAPRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilly,Dry,2004-05,-,2362,2861,1996,2170,2476,1937,2084,2393,2207,2134,1960,2001,2350,2371,2103,INDIA-ANDHRAPRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry,2004-05,Kharif,2413,2920,2193,2193,2114,1936,1989,2306,2114,2145,1806,1772,2189,1936,1925,INDIA-ANDHRAPRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry,2004-05,Rabi,2198,1975,1975,1975,3043,2143,2641,2641,3043,1975,2526,2198,2641,2399,2198,INDIA-ANDHRAPRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,-,2004-05,-,1932,1634,-,1634,1597,1938,1881,1834,1773,1634,1752,1855,1729,1895,1697,INDIA-ANDHRAPRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,2004-05,Kharif,1932,1634,-,1634,1597,1938,1881,1834,1773,1634,1752,1855,1729,1895,1697,INDIA-ANDHRAPRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
