Districtname,Year,Paddy,Jowar,Bajra,Maize,Ragi,Wheat,Barley,Gram,TurArhar,SugarRaw,Potato,Tobacco,Groundnut,state,RapeMustard,Sesamum,Linseed,CasterSeed,Toria,Cotton,Jute,Sannhemp,Pepper,Ginger,Chilly,Turmeric,Mesta,GramBlack,Banana,Coconut,Rice,ChillyGreen,TurmericRaw,Soyabean,Sunflower,Arecanut,Cashewnut,Tapioca,Peeper,NigerSeed
ANDAMAN&NICOBAR ISLANDS,1998-99,550,..,..,..,..,..,..,..,..,50,..,..,..,ANDAMAN&NICOBARISLANDS(Concluded).,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999-00,550,..,..,..,..,..,..,..,..,608,..,..,. .,ANDAMAN&NICOBARISLANDS(Concluded).,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000-01,625,..,..,..,..,..,..,..,..,575,..,..,..,ANDAMAN&NICOBARISLANDS(Concluded).,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDAMAN&NICOBAR ISLANDS,1998-99,550,..,..,..,..,..,..,..,..,50,..,..,..,ANDAMAN&NICOBARISLANDS(Concluded).,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999-00,550,..,..,..,..,..,..,..,..,608,..,..,..,ANDAMAN&NICOBARISLANDS(Concluded).,,,,,,,,,,,,,,,,,,,,,,,,,,
(S.W.Average),2000-01,625,..,..,..,..,..,..,..,..,575,..,..,..,ANDAMAN&NICOBARISLANDS(Concluded).,,,,,,,,,,,,,,,,,,,,,,,,,,
DIBRUGARH,1998-99,453,..,..,..,..,..,..,..,..,1840,450,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999-00,420,..,..,..,..,..,..,..,..,..,400,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000-01,362,..,..,..,..,..,..,..,..,1800,418,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH LAKHIMPUR,1998-99,543,..,..,..,..,..,..,..,..,..,586,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999-00,483,..,..,..,..,..,..,..,..,..,600,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000-01,388,..,..,..,..,..,..,..,..,..,450,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,,406,..,..,..,..,..,..,..,..,..,..,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
KARBI ANGLONG,1998-99,641,..,..,533,..,1010,..,1954,1998,364,955,3993,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,,642,..,..,..,..,..,..,..,..,1843,..,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999-00,503,..,..,588,..,1488,..,2141,1806,250,533,4375,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,,528,..,..,..,..,..,..,..,..,1700,..,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000-00,548,..,..,605,..,1915,..,2076,2075,263,640,4129,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,,452,..,..,..,..,..,..,..,..,1754,..,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
N.C.HILLS,1998-99,..,..,..,..,..,..,..,..,..,..,..,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999-00,..,..,..,..,..,..,..,..,..,..,..,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000-01,..,..,..,..,..,..,..,..,..,..,350,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
TINSUKIA,1998-99,571,..,..,..,..,..,..,..,..,1850,1000,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999-00,..,..,..,..,..,..,..,..,..,..,..,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998-99,..,..,..,..,..,..,..,..,..,..,..,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
KOKARAJHAR,1998-99,679,..,..,592,..,600,..,..,..,..,827,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,,596,..,..,..,..,..,..,..,..,..,..,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999-00,617,..,..,..,..,550,..,..,..,..,316,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,,618,..,..,..,..,..,..,..,..,..,..,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000-01,600,..,..,..,..,544,..,..,..,..,457,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,,542,..,..,..,..,..,..,..,..,..,..,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
BARPETA,1998-99,673,..,..,..,..,..,..,..,..,..,810,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,,638,..,..,..,..,..,..,..,..,..,..,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999-00,633,..,..,..,..,..,..,..,..,..,283,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,,631,..,..,..,..,..,..,..,..,..,..,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000-00,663,..,..,..,..,..,..,..,..,..,457,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
,,620,..,..,..,..,..,..,..,..,..,..,..,..,INDIA.STATEASSAMDISTRICT-WISE(Cont,,,,,,,,,,,,,,,,,,,,,,,,,,
SANGRUR,1998-99,470,..,500,..,..,550,415,1500,..,1200,..,..,1090,INDIA.STATEPUNJABDISTRICT-WISE(Con,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999-00,470,..,402,650,..,580,538,1500,..,1200,..,..,1090,INDIA.STATEPUNJABDISTRICT-WISE(Con,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000-01,540,..,400,500,..,620,600,1600,..,900,..,..,1400,INDIA.STATEPUNJABDISTRICT-WISE(Con,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPAR,1998-99,550,..,..,550,..,575,530,1800,..,1200,..,..,..,INDIA.STATEPUNJABDISTRICT-WISE(Con,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999-00,550,..,..,560,..,580,..,1490,..,1210,..,..,..,INDIA.STATEPUNJABDISTRICT-WISE(Con,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000-01,580,..,..,500,..,610,..,1550,..,1250,..,..,..,INDIA.STATEPUNJABDISTRICT-WISE(Con,,,,,,,,,,,,,,,,,,,,,,,,,,
FARIDKOT,1998-99,470,..,..,..,..,550,495,1600,..,1850,..,..,1450,INDIA.STATEPUNJABDISTRICT-WISE(Con,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999-00,550,700,..,..,..,535,500,2000,..,1000,..,..,..,INDIA.STATEPUNJABDISTRICT-WISE(Con,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000-01,540,..,..,..,..,580,542,2000,..,1000,..,..,..,INDIA.STATEPUNJABDISTRICT-WISE(Con,,,,,,,,,,,,,,,,,,,,,,,,,,
MANSA,1998-99,470,..,450,..,..,510,490,1300,..,950,..,..,..,INDIA.STATEPUNJABDISTRICT-WISE(Con,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999-00,520,..,550,..,..,550,450,1200,..,..,..,..,..,INDIA.STATEPUNJABDISTRICT-WISE(Con,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000-01,540,..,415,..,..,590,406,1200,..,1200,..,..,..,INDIA.STATEPUNJABDISTRICT-WISE(Con,,,,,,,,,,,,,,,,,,,,,,,,,,
