state,district,crop,Variety,Year,fhp_RsPerQtl_Kharif,fhp_RsPerQtl_Rabi,fhp_RsPerQtl_Summer
AP,Adilabad,Bajra,-,2004-05,,454,
AP,Adilabad,Bajra,-,2005-06,,697,
AP,Adilabad,Bajra,-,2006-07,,885,
AP,Adilabad,Bajra,-,2007-08,,1438,
AP,Adilabad,Bajra,-,2008-09,,1741,
AP,Adilabad,Bajra,-,2009-10,,928,
AP,Adilabad,Bajra,-,2010-11,,3526,
AP,Adilabad,Bajra,-,2011-12,,1906,
AP,Adilabad,CasterSeed,-,2004-05,1494,,
AP,Adilabad,CasterSeed,-,2005-06,1100,,
AP,Adilabad,CasterSeed,-,2006-07,1578,,
AP,Adilabad,CasterSeed,-,2007-08,1788,,
AP,Adilabad,CasterSeed,-,2008-09,2121,,
AP,Adilabad,CasterSeed,-,2009-10,,,
AP,Adilabad,CasterSeed,-,2010-11,,,
AP,Adilabad,CasterSeed,-,2011-12,3190,,
AP,Adilabad,Chilly,-,2005-06,2715,,
AP,Adilabad,Chilly,-,2008-09,,6336,
AP,Adilabad,Chilly,Dry,2004-05,2413,2198,
AP,Adilabad,Chilly,Dry,2005-06,,2911,
AP,Adilabad,Chilly,Dry,2006-07,4840,4808,
AP,Adilabad,Chilly,Dry,2007-08,4557,4358,
AP,Adilabad,Chilly,Dry,2008-09,5324,,
AP,Adilabad,Chilly,Dry,2009-10,6764,6382,
AP,Adilabad,Chilly,Dry,2010-11,8987,7271,
AP,Adilabad,Chilly,Dry,2011-12,6063,5504,
AP,Adilabad,Cotton,-,2004-05,1932,,
AP,Adilabad,Cotton,-,2005-06,1879,,
AP,Adilabad,Cotton,-,2006-07,1869,,
AP,Adilabad,Cotton,-,2007-08,2190,,
AP,Adilabad,Cotton,-,2008-09,2898,,
AP,Adilabad,Cotton,-,2009-10,3094,,
AP,Adilabad,Cotton,-,2010-11,4310,,
AP,Adilabad,Cotton,-,2011-12,3857,,
AP,Adilabad,Gram,-,2004-05,,1360,
AP,Adilabad,Gram,-,2005-06,,1550,
AP,Adilabad,Gram,-,2006-07,,2073,
AP,Adilabad,Gram,-,2007-08,,1973,
AP,Adilabad,Gram,-,2008-09,,1549,
AP,Adilabad,Gram,-,2009-10,,1995,
AP,Adilabad,Gram,-,2010-11,,2050,
AP,Adilabad,Gram,-,2011-12,,2431,
AP,Adilabad,Ground Nut,-,2004-05,1180,1573,
AP,Adilabad,Ground Nut,-,2005-06,1569,1775,
AP,Adilabad,Ground Nut,-,2006-07,1745,1941,
AP,Adilabad,Ground Nut,-,2007-08,,1869,
AP,Adilabad,Ground Nut,-,2008-09,,2408,
AP,Adilabad,Ground Nut,-,2009-10,,2505,
AP,Adilabad,Ground Nut,-,2010-11,,3651,
AP,Adilabad,Ground Nut,-,2011-12,,4015,
AP,Adilabad,Jowar,-,2004-05,472,530,
AP,Adilabad,Jowar,-,2005-06,477,637,
AP,Adilabad,Jowar,-,2006-07,530,610,
AP,Adilabad,Jowar,-,2007-08,709,756,
AP,Adilabad,Jowar,-,2008-09,701,754,
AP,Adilabad,Jowar,-,2009-10,1085,898,
AP,Adilabad,Jowar,-,2010-11,750,1039,
AP,Adilabad,Jowar,-,2011-12,1305,1180,
AP,Adilabad,Maize,-,2004-05,442,498,
AP,Adilabad,Maize,-,2005-06,481,528,
AP,Adilabad,Maize,-,2006-07,497,569,
AP,Adilabad,Maize,-,2007-08,628,751,
AP,Adilabad,Maize,-,2008-09,816,,
AP,Adilabad,Maize,-,2009-10,836,768,
AP,Adilabad,Maize,-,2010-11,843,968,
AP,Adilabad,Maize,-,2011-12,971,938,
AP,Adilabad,Mesta,-,2005-06,1300,,
AP,Adilabad,Mesta,-,2006-07,1111,,
AP,Adilabad,Mesta,-,2007-08,,,
AP,Adilabad,Mesta,-,2008-09,,,
AP,Adilabad,Mesta,-,2009-10,,,
AP,Adilabad,Mesta,-,2010-11,,,
AP,Adilabad,Mesta,-,2011-12,,,
AP,Adilabad,Paddy,-,2004-05,649,614,
AP,Adilabad,Paddy,-,2005-06,640,511,
AP,Adilabad,Paddy,-,2006-07,635,624,
AP,Adilabad,Paddy,-,2007-08,765,874,
AP,Adilabad,Paddy,-,2008-09,929,954,
AP,Adilabad,Paddy,-,2009-10,944,960,
AP,Adilabad,Paddy,-,2010-11,1005,948,
AP,Adilabad,Paddy,-,2011-12,1028,1073,
AP,Adilabad,Ragi,-,2004-05,,,
AP,Adilabad,Ragi,-,2005-06,,,
AP,Adilabad,Ragi,-,2006-07,,,
AP,Adilabad,Ragi,-,2007-08,,,
AP,Adilabad,Ragi,-,2008-09,,,
AP,Adilabad,Ragi,-,2009-10,,,
AP,Adilabad,Ragi,-,2010-11,,,
AP,Adilabad,Ragi,-,2011-12,,,
AP,Adilabad,Sesamum,-,2004-05,2443,2671,
AP,Adilabad,Sesamum,-,2005-06,1758,2431,
AP,Adilabad,Sesamum,-,2006-07,2700,2391,
AP,Adilabad,Sesamum,-,2007-08,2511,4167,
AP,Adilabad,Sesamum,-,2008-09,,3655,
AP,Adilabad,Sesamum,-,2009-10,,5285,
AP,Adilabad,Sesamum,-,2010-11,4715,4128,
AP,Adilabad,Sesamum,-,2011-12,3638,4292,
AP,Adilabad,Sugar Raw,-,2004-05,1188,,
AP,Adilabad,Sugar Raw,-,2005-06,1100,,
AP,Adilabad,Sugar Raw,-,2006-07,1051,,
AP,Adilabad,Sugar Raw,-,2007-08,1041,,
AP,Adilabad,Sugar Raw,-,2008-09,1221,,
AP,Adilabad,Sugar Raw,-,2009-10,,,
AP,Adilabad,Sugar Raw,-,2010-11,2069,,
AP,Adilabad,Sugar Raw,-,2011-12,,,
AP,Adilabad,Tobacco,-,2004-05,,,
AP,Adilabad,Tobacco,-,2005-06,,,
AP,Adilabad,Tobacco,-,2006-07,,,
AP,Adilabad,Tobacco,-,2007-08,,,
AP,Adilabad,Tobacco,-,2008-09,,,
AP,Adilabad,Tobacco,-,2010-11,,,
AP,Adilabad,Tobacco,-,2011-12,,,
AP,Adilabad,Tur Arhar,-,2004-05,1366,1352,
AP,Adilabad,Tur Arhar,-,2005-06,1518,,
AP,Adilabad,Tur Arhar,-,2006-07,2094,,
AP,Adilabad,Tur Arhar,-,2007-08,2178,,
AP,Adilabad,Tur Arhar,-,2008-09,2205,,
AP,Adilabad,Tur Arhar,-,2009-10,3934,3616,
AP,Adilabad,Tur Arhar,-,2010-11,3047,3294,
AP,Adilabad,Tur Arhar,-,2011-12,3065,3536,
AP,Adilabad,Turmeric,-,2004-05,2006,,
AP,Adilabad,Turmeric,-,2005-06,2209,,
AP,Adilabad,Turmeric,-,2006-07,1845,,
AP,Adilabad,Turmeric,-,2007-08,2119,,
AP,Adilabad,Turmeric,-,2009-10,13636,,
AP,Adilabad,Turmeric,-,2010-11,11857,,
AP,Adilabad,Turmeric,-,2011-12,3314,,
AP,Anantapur,Bajra,-,2004-05,523,575,
AP,Anantapur,Bajra,-,2005-06,530,620,
AP,Anantapur,Bajra,-,2006-07,595,885,
AP,Anantapur,Bajra,-,2007-08,708,1438,
AP,Anantapur,Bajra,-,2008-09,719,,
AP,Anantapur,Bajra,-,2009-10,1050,,
