state	district	crop	Variety	Year	Season	fhp
AP	Adilabad	Bajra	-	2008-09	-	1741
AP	Adilabad	Bajra	-	2008-09	Kharif	
AP	Adilabad	Bajra	-	2008-09	Rabi	1741
AP	Adilabad	Bajra	-	2009-10	-	928
AP	Adilabad	Bajra	-	2009-10	Kharif	
AP	Adilabad	Bajra	-	2009-10	Rabi	928
AP	Adilabad	Bajra	-	2010-11	-	3526
AP	Adilabad	Bajra	-	2010-11	Kharif	
AP	Adilabad	Bajra	-	2010-11	Rabi	3526
AP	Adilabad	CasterSeed	-	2008-09	-	2121
AP	Adilabad	CasterSeed	-	2008-09	Kharif	2121
AP	Adilabad	CasterSeed	-	2009-10	-	
AP	Adilabad	CasterSeed	-	2009-10	Kharif	
AP	Adilabad	CasterSeed	-	2010-11	-	
AP	Adilabad	CasterSeed	-	2010-11	Kharif	
AP	Adilabad	CasterSeed	-	2010-11	Rabi	
AP	Adilabad	Chilly	-	2008-09	Rabi	6336
AP	Adilabad	Chilly	Dry	2008-09	-	5599
AP	Adilabad	Chilly	Dry	2008-09	Kharif	5324
AP	Adilabad	Chilly	Dry	2009-10	-	6709
AP	Adilabad	Chilly	Dry	2009-10	Kharif	6764
AP	Adilabad	Chilly	Dry	2009-10	Rabi	6382
AP	Adilabad	Chilly	Dry	2010-11	-	8527
AP	Adilabad	Chilly	Dry	2010-11	Kharif	8987
AP	Adilabad	Chilly	Dry	2010-11	Rabi	7271
AP	Adilabad	Cotton	-	2008-09	-	2898
AP	Adilabad	Cotton	-	2008-09	Kharif	2898
AP	Adilabad	Cotton	-	2009-10	-	3094
AP	Adilabad	Cotton	-	2009-10	Kharif	3094
AP	Adilabad	Cotton	-	2010-11	-	4310
AP	Adilabad	Cotton	-	2010-11	Kharif	4310
AP	Adilabad	Gram	-	2008-09	-	1549
AP	Adilabad	Gram	-	2008-09	Rabi	1549
AP	Adilabad	Gram	-	2009-10	-	1995
AP	Adilabad	Gram	-	2009-10	Rabi	1995
AP	Adilabad	Gram	-	2010-11	-	2050
AP	Adilabad	Gram	-	2010-11	Rabi	2050
AP	Adilabad	Ground Nut	-	2008-09	-	2408
AP	Adilabad	Ground Nut	-	2008-09	Kharif	
AP	Adilabad	Ground Nut	-	2008-09	Rabi	2408
AP	Adilabad	Ground Nut	-	2009-10	-	2505
AP	Adilabad	Ground Nut	-	2009-10	Kharif	
